Review_Date,Hotel_Name,Reviewer_Nationality,Negative_Review,Positive_Review,Reviewer_Score,Total_Reviews_By_Reviewer,Tags,days_since_review
03/15/2017,Park Plaza County Hall London,United Kingdom,No access to fresh or window in the room,Friendly staff Excellent room service food,10,1,"[' Business trip ', ' Group ', ' Studio Double Family ', ' Stayed 1 night ', ' Submitted from a mobile device ']",141 day
07/30/2016,Park Plaza County Hall London,Ireland,Breakfast too expensive not great quality hot food,Location good for kids Plenty restaurants nearby,7.5,2,"[' Leisure trip ', ' Family with young children ', ' Studio Double Family ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",369 day
01/02/2017,One Aldwych,United Kingdom,For what iv paid 575 for 1 night didnt even gt a breakfast we could av been told that thers a safe in room the chair in 403 was disgustig filthy wasnt very impressed with the service,No Positive,5,1,"[' Leisure trip ', ' Couple ', ' Aldwych Double Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",213 day
05/03/2016,InterContinental London Park Lane,United Kingdom,Room was too hot both windows open heating low as we could get it so hot my partners asthma was set off and he was up all night as he couldn t lie down had to have water from minibar to cool himself The receptionist let us have the water and advised us that next time to call reception to help,Big pillows and breakfast,7.9,1,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",457 day
04/11/2017,Grand Royale London Hyde Park,Australia,Rooms can do with some TLC and are much smaller than anticipated Room 517 was quite warm and the split system would blow warm when placed on cool and cool when placed on warm Bathroom ventilation is poor also Cleaning staff half heartedly serviced our room on two occasions If you need a Taxi do not use the hotels affiliate service They will rip off any unnasuming tourist 20 for a four minute car journey I don t think so,Lobby and aesthetic appearance down stairs is great,4.6,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",114 day
07/26/2016,Grand Royale London Hyde Park,United Kingdom,Slightly small bedroom but I guess that is London,The location next to underground and Hyde Park was ideal for us The staff were very helpful and polite We had just got engaged and so they kindly had a card fruit wine and chocolates in our bedroom as a gift Been many places and could not fault it Wonderful air conditioning in room Beautiful historical hotel,9.6,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",373 day
11/22/2015,Grand Royale London Hyde Park,Switzerland,Windows couls not be opened the double bed a bit on the small side,for our purpose the location was perfect everything was fine as usual for London the rooms are small This is as a rule compensated by generous lobbies and lounges which really makes sense as you only sleep in your room The bathroom was modern good design and clean,7.9,3,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 1 night ']",620 day
02/12/2017,Grand Royale London Hyde Park,Saudi Arabia,Terrible room size and corridor No gym Room had a bath That was good Do not come hereunless you are five six,Breakfast was great,6.3,8,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",172 day
06/27/2016,Grand Royale London Hyde Park,United Kingdom,The pillows,The Beds were very comfortable,8.3,2,"[' Leisure trip ', ' Couple ', ' Deluxe Twin Room ', ' Stayed 1 night ']",402 day
12/21/2015,Grand Royale London Hyde Park,United Kingdom,No Negative,The hotel was in a very good location the room was very comfortable and the staff was excellent,10,13,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",591 day
02/01/2017,Crowne Plaza London Kings Cross,United Kingdom,There were a small set of stairs between the lifts and the room may sound picky but with a big heavy case it was a real pain,The newly refurbished rooms are extremely comfortable well designed and the bathrooms are excellent Really impressed at the value for money,10,5,"[' Business trip ', ' Solo traveler ', ' Double Room with Two Double Beds ', ' Stayed 1 night ', ' Submitted from a mobile device ']",183 day
01/15/2017,Crowne Plaza London Kings Cross,United Kingdom,No issues at all,Really enjoyed using the pool jacuzzi and steam room Room was well equipped,9.6,3,"[' Leisure trip ', ' Couple ', ' Double Room with Sofa Bed Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",200 day
03/13/2017,Select Hotel,United Kingdom,Wifi not consistent in room,Super clean,9.6,1,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",143 day
09/20/2015,Gardette Park Hotel,France,Breakfast could be improved easily as it is very very basic,Nice room with good facilities very clean and confortable very quite environment with a view on a public garden,7.5,84,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ']",683 day
04/15/2017,Novotel London West,Jordan,Staff doesn t respond quickly The room lacked cleanliness Water system not working properly Tap water smelled like sewage We requested changing the room but no response The shower was bad also Too expensive for what they offer,Location bed,4.6,13,"[' Leisure trip ', ' Family with young children ', ' Superior Room ', ' Stayed 9 nights ', ' Submitted from a mobile device ']",110 day
06/24/2017,Novotel London West,France,No Negative,Very convenient link to conference centre staff are magnificent,9.2,3,"[' Business trip ', ' Group ', ' Superior Room ', ' Stayed 1 night ']",40 days
02/09/2016,Novotel London West,United Kingdom,Breakfast never came to room as booked resulting in late check out,No Positive,7.5,1,"[' Leisure trip ', ' Couple ', ' Executive Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",541 day
04/25/2017,Intercontinental London The O2,United Kingdom,I thought 25pp for breakfast was much to expensive and so not value for money Also no english breakfast tea in the room and when it was delivered it was not that nice,The staff were amazing and the room facilities and bathroom were really nice,9.6,8,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 1 night ']",100 day
07/07/2016,Intercontinental London The O2,United Kingdom,Much too expensive parking was 24 00 overnight After spending that much money on a room parking was just too expensive plus the cost of the minibar where a kit Kat was 3 50 Also leaving 100 00 deposit made it very very expensive cos you don t get the money back for 4 5 days,Location was the best thing,5.8,1,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",392 day
06/23/2017,Intercontinental London The O2,United Kingdom,No Negative,Beautiful lovely views,9.6,1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",41 days
01/02/2017,Intercontinental London The O2,United Kingdom,No Negative,Oscar from Reception was very helpful and friendly Thank you Oscar Regards Ahmed Kasem,10,4,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",213 day
06/16/2016,Intercontinental London The O2,United Kingdom,Pillows really to soft,Everyone made me feel special,9.2,4,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",413 day
07/14/2016,H tel Juliana Paris,United Arab Emirates,No Negative,Location Cheerful staff Facilities and services provided by the hotel,9.2,9,"[' Leisure trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",385 day
11/18/2015,Knightsbridge Hotel,United Kingdom,No Negative,The staff were very welcoming the street was quiet everything about the hotel was lovely We were upgraded to a presidential suite which was amazing and had the most wonderful time,10,4,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 1 night ']",624 day
01/21/2017,The Nadler Soho,United Kingdom,Room too small no room for cases Breakfast should be included for price of room More ambient space in lobby,Comfy bed and facilities within the room,9.2,1,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",194 day
04/23/2017,Grange St Paul s Hotel,United Kingdom,No Negative,Very clean and elegant looked amazing from the inside and out Great location and our room had a good view of St Pauls Cathedral Spacious rooms and comfortable beds at an extremely good price compared to other upper end hotels in the City Didn t get time to use the spa facilities unfortunately but would definitely recommend this hotel to others,10,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",102 day
06/06/2017,Grange St Paul s Hotel,United Kingdom,bed was abit uncomfortable,the bar was very nice,9.2,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",58 days
01/07/2016,Grange St Paul s Hotel,United Kingdom,I liked everything,Hotel was 1st Class,10,12,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",574 day
02/16/2016,Covent Garden Hotel,United Kingdom,No Negative,The whole experience was first class from the greeting at the front door to the reception staff and the fantastic room The beds were better than Marriott and we always thought that their beds were the most comfortable until we visited this hotel The breakfast was brilliant and we had a super time there,10,6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",534 day
05/30/2016,The Nadler Victoria,United States of America,No Negative,Great location and Beautiful room with lots of extra amenities They even surprised us with a bottle of wine for our anniversary,10,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",430 day
12/22/2015,Novotel London Tower Bridge,United Kingdom,No Negative,Great Location Good Hotel,10,4,"[' Leisure trip ', ' Family with young children ', ' Superior Room with Queen Bed and Sofa ', ' Stayed 1 night ']",590 day
10/22/2015,Maison Souquet,United States of America,No Negative,Courteous and attentive staff Beautiful decor Great history Wonderful location,10,2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room with Private Access to Pool and Spa ', ' Stayed 2 nights ']",651 day
09/20/2016,Hotel des Tuileries Relais du Silence,Israel,The toilet is in a very small room,Nice big room,8.8,6,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",317 day
08/06/2016,The Victoria,Australia,No Negative,Room spacious and comfy breakfast simple and delicious Staff friendly and helpful,10,22,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",362 day
08/03/2017,Pullman London St Pancras,United States of America,No Negative,Excellent property,9.6,19,"[' Leisure trip ', ' Travelers with friends ', ' Classic King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",0 days
07/07/2016,Pullman London St Pancras,United Kingdom,Breakfast room a little chaotic and not as clean as I d have liked No bottle opener in room took far too long to rectify,Location and staff,7.1,6,"[' Leisure trip ', ' Solo traveler ', ' Classic King Room ', ' Stayed 1 night ']",392 day
05/30/2016,Crowne Plaza London Kensington,United Kingdom,No Negative,Great location for Albert Hall excellent hotel to stay in,9.6,3,"[' Leisure trip ', ' Couple ', ' Club King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",430 day
08/13/2015,Doubletree by Hilton London Kensington,Oman,The room was very small and hardly any wardrobe space No toiletries or fridge Everything was extra breakfast wifi internet iron etc,The location was great and the room was extremely clean,6.7,2,"[' Leisure trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 4 nights ']",721 day
09/27/2015,Doubletree by Hilton London Kensington,Greece,No Negative,It was a great experience to stay at this hotel,9.5,3,"[' Business trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 1 night ']",676 day
08/09/2016,Ace Hotel London Shoreditch,East Timor,No Negative,Freedom,9.2,10,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",359 day
02/09/2017,The Grosvenor,Ireland,The staff could be more helpful with our situation we put wrong date for stayed and have been charged and now I have to stay somewhere else for extra money me and my girl were looking forward to celebrate our birthdays in style and close to the venue,No Positive,3.1,1,"[' Leisure trip ', ' Solo traveler ', ' Submitted from a mobile device ']",175 day
09/06/2015,The Grosvenor,United Kingdom,Double room a little small Took 3 4 attempts to make contact with the reception for an emergency last minute reservation Would prefer king beds as standard for delux rooms,Beautiful hotel great staff,9.2,2,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",697 day
04/10/2016,The Grosvenor,United Kingdom,The bar doesn t have a lot of atmosphere,Location staff room and value all great,9.6,1,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 1 night ']",480 day
01/21/2017,The Park Tower Knightsbridge a Luxury Collection Hotel,United Kingdom,Staff are not friendly and welcoming Breakfast is not 5 hotel breakfast,Location is very nice Room standard was spacious View,7.5,20,"[' Leisure trip ', ' Group ', ' Classic Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",194 day
01/02/2016,Le Parisis Paris Tour Eiffel,United Kingdom,If there was a menu for what you could order to your room that would be nice other than that nothing,This hotel was very clean comfortable and stylish the soundproof rooms work a dream the beds are comfortable and the shower is amazing would definitely without doubt stay again and would recommend it to everyone traveling to paris,9.2,2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",579 day
02/09/2016,Thistle Kensington Gardens,United Kingdom,Small bathroom size around 3 m2 room type Deluxe Kingsize bedroom with view A little horns at night because the room cited front the road sometime get rushed and also the petrol station underneath the hotel,The location infront of the Hyde Park Far from paddington station in about 12 minutes walking Breakfast time extended to be from 6 30 till 10 30am Easy checkout Bag s store after checked out let you take a tour freely without carying you bag with you everywhere,9.2,9,"[' Couple ', ' Executive King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",541 day
12/01/2015,Thistle Kensington Gardens,United Kingdom,Very small rooms though clean,Nice location Though garage below hotel was a bit unusual,7.1,3,"[' Leisure trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",611 day
01/16/2016,Park Plaza Sherlock Holmes London,United Kingdom,Not a great choice of food menu same thing day in day out lunch and dinner more choice needed Eating out advised,Comfortable clean great for a weekend away,7.5,2,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",565 day
01/08/2017,The Kensington Hotel,Greece,No Negative,Bar very professional,10,13,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",207 day
11/17/2015,Holiday Inn London Stratford City,United Kingdom,We had a poor experience when eating in the hotel bar we ordering for meals from the bar snack menu but only one main course arrived The other meals arrived 40 minutes later after having to complain and reorder,Location was fantastic we were going to the Olympic stadium,7.9,1,"[' Leisure trip ', ' Family with older children ', ' Queen Room Disability Access Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",625 day
01/24/2016,Holiday Inn London Stratford City,United Kingdom,Poor staff uncommunicative and just not bothered,No Positive,4.6,4,"[' Leisure trip ', ' Family with older children ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",557 day
08/02/2016,Staybridge Suites London Stratford,United Kingdom,No Negative,Room very comfortable Big bonus proper fridge,9.2,15,"[' Leisure trip ', ' Solo traveler ', ' Suite ', ' Stayed 2 nights ']",366 day
09/18/2016,Shepherd s Bush Boutique Hotel,Israel,This is not a 4 star hotel A basic breakfast,Close to the subway Close to London s largest shopping mall,6.3,12,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 5 nights ']",319 day
12/31/2016,My Bloomsbury,Israel,The room was really small The bathroom was not renovated,No Positive,7.5,4,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",215 day
09/06/2015,Holiday Inn Paris Gare de Lyon Bastille,Canada,No Negative,Close to train station Gare de Lyon Within walking distance Staff very helpful,10,1,"[' Leisure trip ', ' Couple ', ' King Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",697 day
05/10/2016,Op ra Marigny,Belgium,When we entered our room we could smell the smoke of the previous guests although it was a non smoking room and hotel We complained at the reception but immediately got a new room,Good location quite rooms great beds,8.3,7,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",450 day
03/18/2017,H tel Duo,United Kingdom,No Negative,Friendly staff Very courteous and helpful Quick response to questions,10,1,"[' Business trip ', ' Solo traveler ', ' Single Room with Shower ', ' Stayed 1 night ']",138 day
05/26/2017,The Rembrandt,Switzerland,The hairdryer could be better Service at the restaurant could be better,Bed perfect meals were good The ambience also good,9.2,1,"[' Couple ', ' Club Double Room ', ' Stayed 3 nights ']",69 days
09/06/2016,H tel de la Bourdonnais,Iran,Elavator was out of order for one day Had to take stairs,Location Helpful satff Free smart phone And free goodies in the mini fridge Super market right next door,8.8,8,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",331 day
02/21/2016,Ashburn Hotel,United Kingdom,Room could have been a bit bigger along with the bath tub,Room was very clean and comfortable Staff very friendly and helpful,8.8,1,"[' Leisure trip ', ' Couple ', ' Queen Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",529 day
07/05/2017,Novotel London Waterloo,United Kingdom,the cleanliness of the room had much to be desired and we were moved 3 time,No Positive,5,1,"[' Leisure trip ', ' Couple ', ' Superior Queen Room with Double Sofa ', ' Stayed 1 night ']",29 days
04/11/2016,Park International Hotel,United Kingdom,a metal ramp down stairs is not a disability access not everyone uses wheelchair felt trapped in hotel piano bar far to loud restaurant food very average internet charge in this day and age,bed was comfy disabled room was good nice reception area and lounge,7.5,21,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",479 day
09/22/2016,Le Relais Madeleine,Netherlands,No Negative,The bed was just really nice Almost as at home Just the pillow could be better,9.2,2,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",315 day
03/25/2017,Waldorf Madeleine,Greece,No Negative,Clean and nice room perfect location this a very very good hotel,10,11,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",131 day
07/16/2017,Best Western Mornington Hotel Hyde Park,United States of America,The shower is ultra modern Maybe some directions for adjusting water temperature would be a good safety idea Also there needs to be a rubber mat in the bottom of the shower I did slip a little getting out as there is nothing to hold on to Also there is a step up into the bathroom from the bedroom which is unmarked I tripped over it twice before remembering it was there,Beautiful little hotel near Lancaster Gate tube station It has a lift It has air conditioning Most hotels I stay at in London has neither It has a charming area called the Library that serves drinks and snacks I loved the period detail in the architecture The staff were friendly and efficient The room where I stayed was very quiet unusual for a 200 year old building,9.2,11,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",18 days
12/10/2016,Best Western Mornington Hotel Hyde Park,United Kingdom,shower need some diy,No Positive,7.9,9,"[' Business trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 1 night ']",236 day
06/07/2016,Arbor City,United Kingdom,No Negative,Very welcoming staff who explained everything on arrival and we were given a discount to use at the restaurant as well The room was clean and well presented with a coffee machine making fantastic coffee,9.6,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",422 day
02/03/2016,Arbor City,France,No Negative,Modern room comfortable,8.3,6,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 3 nights ']",547 day
05/05/2017,Le Pavillon des Lettres,Belgium,No Negative,Excellent and professional service Very close to central places to see in Paris notably the Louvre Tuileries Chams Elysees the Arch of Triumph and museums Very secure location on the same street area with the President s office ministries and embassies Their rooms are named after big writers and you can read their books available in the rooms Great bathroom,9.6,32,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 1 night ']",90 days
02/11/2016,Ambassadors Bloomsbury,Ireland,Room was slightly cramped Restaurant food was nice but over priced for what it was Bar closed at 10pm on the Sunday night,Staff were extremely friendly and nice Went out of their way to help Excellent location Within walking distance of some of the best areas within the city,7.9,8,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 2 nights ']",539 day
09/20/2015,Ambassadors Bloomsbury,Japan,No Negative,All staff were kind and supportive,9.2,2,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",683 day
11/09/2016,London Marriott Hotel Regents Park,United Kingdom,Although I have booked executive room I did felt disappointed For that price I did expected a bit more Like bigger room and atmosphere felt a bit cold in a room,The location was great and super friendly staff,7.5,1,"[' Leisure trip ', ' Couple ', ' Deluxe King with Balcony ', ' Stayed 1 night ', ' Submitted from a mobile device ']",267 day
03/24/2016,London Marriott Hotel Regents Park,United Kingdom,Hotel was under going a refurb,No Positive,7.5,1,"[' Leisure trip ', ' Couple ', ' Deluxe King with Balcony ', ' Stayed 1 night ', ' Submitted from a mobile device ']",497 day
09/05/2015,Staunton Hotel B B,United Kingdom,Beds were very hard but a mattress topper would sort out the problem,Staff extremely pleasant and helpful We had a room on the ground floor because my mum is disabled A lovely full English breakfast was brought to the room because she could not get to the dinning room in the basement Air conditioning worked well Great location 10 minutes walk to theatre district and Oxford Street Lots of shops and restaurants close by,9.2,4,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",698 day
11/14/2016,H tel Westminster,United States of America,No Negative,Staff was very helpful,8.3,1,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",262 day
07/05/2016,Hotel Odeon Saint Germain,United States of America,Room was very small,The location was amazing,9.6,2,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 3 nights ']",394 day
06/05/2016,Mercure London Bloomsbury Hotel,United Kingdom,No Negative,Clean comfortable room Surprisingly quiet considering the location For once I managed a good nights sleep in a central London hotel,9.2,1,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ']",424 day
08/12/2016,The Chamberlain,Luxembourg,Breakfast is quite pricey compared to other places around so we decided not to take it but eat in the city,The bar restaurant in the hotel was very nice The main elevator was being refurbished so we received a complimentary drink on the house,10,14,"[' Leisure trip ', ' Couple ', ' Luxury Double Room ', ' Stayed 2 nights ']",356 day
06/14/2016,The Chamberlain,United Kingdom,No wifi on the 4th floor the coffee machine did not work,The staff friendly,5.8,7,"[' Leisure trip ', ' Couple ', ' Luxury Double Room ', ' Stayed 1 night ']",415 day
05/18/2016,Radisson Blu Edwardian Grafton,United Kingdom,Pillows hard Evening staff on desk could not answer question about night buses New location better than they did However did eventually look it up and find answer,Great location Good breakfast,9.2,3,"[' Leisure trip ', ' Family with older children ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",442 day
11/21/2016,Radisson Blu Edwardian Grafton,United Kingdom,No Negative,Everything,9.2,2,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",255 day
06/12/2017,La Villa Haussmann,United Kingdom,Expensive,Great location friendly staff,9.6,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",52 days
